Emotion,Author Name,Song Name
1,Coldplay,Yellow
1,Coldplay,Fix You
1,The Script,Hall of Fame
1,Ed Sheeran,Perfect
1,John Mayer,Gravity
1,Alicia Keys,If I Ain't Got You
1,The Beatles,Let It Be
1,Oasis,Wonderwall
1,Jason Mraz,I'm Yours
1,Train,Drops of Jupiter
2,Pharrell Williams,Happy
2,Walk the Moon,Shut Up and Dance
2,Justin Timberlake,Can't Stop the Feeling!
2,Rihanna,Don't Stop The Music
2,Katy Perry,Firework
2,Maroon 5,Sugar
2,OneRepublic,Counting Stars
2,Dua Lipa,One Kiss
2,Mark Ronson,Uptown Funk ft. Bruno Mars
2,The Black Eyed Peas,I Gotta Feeling
3,Adele,Someone Like You
3,Sam Smith,Stay With Me
3,Lewis Capaldi,Someone You Loved
3,Taylor Swift,All Too Well
3,Birdy, SkinnyLove
3,James Blunt,Goodbye My Lover
3,Ed Sheeran,Photograph
3,The Fray,How to Save a Life
3,Keane,Somewhere Only We Know
3,Christina Perri,A Thousand Years
4,Eminem,Lose Yourself
4,Linkin Park,In the End
4,Rage Against the Machine,Killing in the Name
4,Beastie Boys,Sabotage
4,Metallica,Enter Sandman
4,Nirvana,Smells Like Teen Spirit
4,Green Day,Basket Case
4,AC/DC,Highway to Hell
4,The Offspring,Self Esteem
4,Disturbed,Down With the Sickness

