                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73057,                0.66965,                      1,                 1.1051,              0.0033301,              0.0033301,              0.0033301
                      2,                 0.7196,                0.65045,                      1,                 1.1071,              0.0065315,              0.0065315,              0.0065315
                      3,                0.73455,                0.64789,                      1,                  1.127,              0.0096009,              0.0096009,              0.0096009
                      4,                 0.7623,                0.64277,                      1,                 1.1255,               0.009406,               0.009406,               0.009406
                      5,                0.75127,                0.65941,                      1,                 1.1222,               0.009406,               0.009406,               0.009406
                      6,                0.75943,                0.64277,                      1,                 1.1218,               0.009208,               0.009208,               0.009208
                      7,                0.75104,                 0.6338,                      1,                 1.1279,                0.00901,                0.00901,                0.00901
                      8,                0.74885,                0.65173,                      1,                 1.1298,               0.008812,               0.008812,               0.008812
                      9,                 0.7474,                0.65301,                      1,                 1.1104,               0.008614,               0.008614,               0.008614
                     10,                0.73663,                0.66581,                      1,                 1.1113,               0.008416,               0.008416,               0.008416
                     11,                0.73257,                0.64533,                      1,                 1.1132,               0.008218,               0.008218,               0.008218
                     12,                 0.7333,                 0.6338,                      1,                 1.1189,                0.00802,                0.00802,                0.00802
                     13,                0.72115,                0.64277,                      1,                 1.1175,               0.007822,               0.007822,               0.007822
                     14,                0.71516,                0.64405,                      1,                 1.1209,               0.007624,               0.007624,               0.007624
                     15,                0.69939,                0.64149,                      1,                 1.1226,               0.007426,               0.007426,               0.007426
                     16,                 0.7013,                0.65045,                      1,                 1.1154,               0.007228,               0.007228,               0.007228
                     17,                0.70364,                0.62356,                      1,                 1.1248,                0.00703,                0.00703,                0.00703
                     18,                0.68385,                0.65301,                      1,                 1.1061,               0.006832,               0.006832,               0.006832
                     19,                0.68612,                0.63508,                      1,                 1.1172,               0.006634,               0.006634,               0.006634
                     20,                0.66937,                0.63636,                      1,                 1.1148,               0.006436,               0.006436,               0.006436
                     21,                0.67393,                0.65045,                      1,                 1.1132,               0.006238,               0.006238,               0.006238
                     22,                 0.6693,                0.64789,                      1,                 1.1093,                0.00604,                0.00604,                0.00604
                     23,                0.66131,                0.63124,                      1,                 1.1133,               0.005842,               0.005842,               0.005842
                     24,                0.65053,                0.63508,                      1,                  1.112,               0.005644,               0.005644,               0.005644
                     25,                0.64842,                0.64533,                      1,                 1.1054,               0.005446,               0.005446,               0.005446
                     26,                0.63785,                 0.6274,                      1,                 1.1168,               0.005248,               0.005248,               0.005248
                     27,                0.64414,                0.65429,                      1,                 1.1015,                0.00505,                0.00505,                0.00505
                     28,                0.66305,                0.64149,                      1,                 1.1085,               0.004852,               0.004852,               0.004852
                     29,                0.64967,                0.64149,                      1,                 1.1078,               0.004654,               0.004654,               0.004654
                     30,                0.64428,                 0.6402,                      1,                 1.1118,               0.004456,               0.004456,               0.004456
                     31,                0.64585,                 0.6402,                      1,                 1.1054,               0.004258,               0.004258,               0.004258
                     32,                0.62263,                0.63636,                      1,                  1.109,                0.00406,                0.00406,                0.00406
                     33,                  0.624,                0.64405,                      1,                 1.1008,               0.003862,               0.003862,               0.003862
                     34,                0.60878,                0.63124,                      1,                 1.1077,               0.003664,               0.003664,               0.003664
                     35,                0.59985,                0.64405,                      1,                 1.1012,               0.003466,               0.003466,               0.003466
                     36,                0.60059,                0.63764,                      1,                 1.1041,               0.003268,               0.003268,               0.003268
                     37,                0.59423,                 0.6402,                      1,                 1.1011,                0.00307,                0.00307,                0.00307
                     38,                 0.5867,                0.62612,                      1,                 1.1007,               0.002872,               0.002872,               0.002872
                     39,                0.57682,                0.64405,                      1,                 1.1014,               0.002674,               0.002674,               0.002674
                     40,                0.56506,                0.63508,                      1,                 1.0931,               0.002476,               0.002476,               0.002476
                     41,                0.56459,                0.63636,                      1,                 1.1008,               0.002278,               0.002278,               0.002278
                     42,                0.54617,                0.62996,                      1,                  1.103,                0.00208,                0.00208,                0.00208
                     43,                0.53809,                0.63508,                      1,                 1.0971,               0.001882,               0.001882,               0.001882
                     44,                0.53865,                 0.6402,                      1,                 1.1003,               0.001684,               0.001684,               0.001684
                     45,                 0.5227,                0.63508,                      1,                  1.102,               0.001486,               0.001486,               0.001486
                     46,                0.50902,                0.63636,                      1,                 1.0985,               0.001288,               0.001288,               0.001288
                     47,                0.50088,                0.63764,                      1,                 1.0999,                0.00109,                0.00109,                0.00109
                     48,                0.49218,                0.63892,                      1,                 1.0995,               0.000892,               0.000892,               0.000892
                     49,                 0.4842,                0.64277,                      1,                 1.1013,               0.000694,               0.000694,               0.000694
                     50,                0.47922,                0.64277,                      1,                 1.0955,               0.000496,               0.000496,               0.000496
